,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
841,6147774,1665921268957,,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,17.0,87.0,,,,,,
842,6147774,1665921268957,,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,babelia 6164137243739591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclassified,17.0,87.0,,,,,,
843,6153187,1665921274370,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194535324.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,EyesNotFound,8.0,87.0,,,,,,
844,6161522,1665921282705,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194543660.0,,,112.0,119.0,-193.0,114.0,418.0,124.0,"-0,53175","-0,21497","-0,81917","-0,35739","-0,21935","-0,90783",,,Valid,Valid,"228,1","144,9","433,1","287,5","140,0","439,0","-53,0","31,3","114,6","33,9",,,,,"0,1740","0,1148",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Unclassified,17.0,88.0,,,,,,
845,6169870,1665921291053,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194552008.0,,,417.0,126.0,,,417.0,126.0,,,,"-0,35799","-0,21800","-0,90792",,"3,12",Invalid,Valid,,,,"287,5","140,0","439,4",,,"114,2","34,5","0,1731","0,1168",,,"0,1731","0,1168",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Unclassified,17.0,88.0,,,,,,
846,6178166,1665921299349,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194560304.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,EyesNotFound,8.0,88.0,,,,,,
847,6186491,1665921307674,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194568630.0,,,124.0,136.0,-169.0,148.0,417.0,123.0,"-0,52404","-0,19860","-0,82821","-0,35777","-0,21899","-0,90777",,,Valid,Valid,"228,0","144,6","433,7","287,6","139,7","439,6","-46,4","40,6","114,3","33,7",,,,,"0,1732","0,1139",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Unclassified,17.0,89.0,,,,,,
848,6194826,1665921316009,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194576965.0,,,420.0,115.0,,,420.0,115.0,,,,"-0,35575","-0,22356","-0,90745",,"3,05",Invalid,Valid,,,,"287,6","139,8","440,0",,,"115,1","31,4","0,1750","0,1063",,,"0,1750","0,1063",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Unclassified,17.0,89.0,,,,,,
849,6203179,1665921324362,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194585318.0,,,,,,,,,,,,,,,,,Invalid,Invalid,,,,,,,,,,,,,,,,,babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,EyesNotFound,8.0,89.0,,,,,,
850,6211513,1665921332696,Eye Tracker,Participant0060,20.09.2021,Participant0060,Recording1,20.09.2021,20.09.2021,16:33:13.073,14:33:13.073,66391,Timeline1,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",194593653.0,,,125.0,122.0,-168.0,133.0,418.0,111.0,"-0,52256","-0,20612","-0,82731","-0,35655","-0,22520","-0,90673",,,Valid,Valid,"228,0","144,6","434,0","287,6","139,7","440,0","-46,1","36,4","114,6","30,4",,,,,"0,1738","0,1028",babelia 6164137243739591,babelia 6164137243739591.jpg,1662.0,1080.0,129.0,0.0,640.0,416.0,Unclassified,17.0,90.0,,,,,,
