,Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Mouse position X,Mouse position Y
24017,4287632,1400443558919,,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,Eye tracker Calibration end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24018,4287632,1400443558919,,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",,ImageStimulusStart,thumbnail_grossTrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24019,4294804,1400443566091,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672159354.0,,,896.0,420.0,888.0,415.0,903.0,425.0,"0,02032","0,02496","-0,99948","-0,08511","0,03293","-0,99583",,,Valid,Valid,"232,9","100,6","517,1","291,6","99,3","515,3","243,4","113,5","247,5","116,4","0,4483","0,3889","0,4422","0,3840","0,4543","0,3938",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24020,4303163,1400443574450,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672167713.0,,,894.0,417.0,883.0,409.0,904.0,426.0,"0,01781","0,02204","-0,99960","-0,08448","0,03322","-0,99587","4,19","4,11",Valid,Valid,"232,9","100,5","517,2","291,6","99,3","515,3","242,1","111,9","247,9","116,5","0,4469","0,3864","0,4385","0,3787","0,4553","0,3941",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24021,4311509,1400443582796,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672176059.0,,,896.0,418.0,885.0,409.0,908.0,427.0,"0,01863","0,02210","-0,99958","-0,08277","0,03403","-0,99599",,,Valid,Valid,"232,9","100,6","517,1","291,6","99,4","515,2","242,6","112,0","248,8","117,0","0,4489","0,3874","0,4398","0,3790","0,4580","0,3957",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24022,4319830,1400443591117,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672184380.0,,,899.0,420.0,889.0,407.0,908.0,432.0,"0,02102","0,02086","-0,99956","-0,08234","0,03652","-0,99593",,,Valid,Valid,"232,9","100,6","517,2","291,5","99,4","515,2","243,8","111,4","248,9","118,3","0,4509","0,3885","0,4433","0,3768","0,4585","0,4001",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24023,4328158,1400443599445,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672192709.0,,,905.0,419.0,900.0,405.0,909.0,433.0,"0,02667","0,02016","-0,99944","-0,08212","0,03708","-0,99593","4,62","4,64",Valid,Valid,"232,9","100,5","517,2","291,6","99,3","515,2","246,7","111,0","249,1","118,5","0,4555","0,3882","0,4520","0,3754","0,4591","0,4010",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24024,4336491,1400443607778,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672201042.0,,,905.0,419.0,901.0,407.0,908.0,432.0,"0,02705","0,02062","-0,99942","-0,08255","0,03624","-0,99593",,,Valid,Valid,"233,0","100,6","517,2","291,6","99,4","515,2","247,0","111,3","248,9","118,1","0,4556","0,3881","0,4527","0,3764","0,4585","0,3997",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24025,4344822,1400443616109,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672209374.0,,,901.0,420.0,902.0,410.0,900.0,431.0,"0,02773","0,02227","-0,99937","-0,08664","0,03570","-0,99560",,,Valid,Valid,"232,9","100,6","517,2","291,6","99,4","515,2","247,3","112,1","246,8","117,9","0,4529","0,3891","0,4536","0,3793","0,4521","0,3988",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24026,4353158,1400443624445,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672217709.0,,,897.0,421.0,893.0,410.0,901.0,432.0,"0,02286","0,02280","-0,99948","-0,08635","0,03655","-0,99559","4,19","4,62",Valid,Valid,"233,0","100,5","517,2","291,6","99,4","515,2","244,8","112,3","247,0","118,3","0,4495","0,3901","0,4463","0,3800","0,4527","0,4002",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24027,4361546,1400443632833,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672226098.0,,,898.0,418.0,895.0,408.0,901.0,428.0,"0,02381","0,02160","-0,99948","-0,08638","0,03427","-0,99567",,,Valid,Valid,"233,0","100,6","517,2","291,7","99,4","515,1","245,3","111,8","247,0","117,2","0,4503","0,3873","0,4479","0,3782","0,4527","0,3964",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24028,4369792,1400443641079,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672234344.0,,,897.0,418.0,895.0,406.0,899.0,431.0,"0,02386","0,02032","-0,99951","-0,08743","0,03553","-0,99554",,,Valid,Valid,"232,9","100,6","517,2","291,6","99,4","515,1","245,3","111,1","246,4","117,8","0,4493","0,3873","0,4478","0,3760","0,4509","0,3987",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
24029,4378122,1400443649409,Eye Tracker,Participant0058,17.09.2021,Participant0058,Recording4,17.09.2021,17.09.2021,14:48:45.713,12:48:45.713,64514,Timeline2,Tobii I-VT (Fixation),1.145.28180,1080,1920,"10,00",672242675.0,,,902.0,431.0,,,902.0,431.0,,,,"-0,08575","0,03595","-0,99567",,"4,09",Invalid,Valid,,,,"291,6","99,4","515,1",,,"247,2","118,0","0,4535","0,3992",,,"0,4535","0,3992",thumbnail_grossTrial,thumbnail_grossTrial.png,1245.0,1080.0,337.0,0.0,798.0,692.0,Fixation,925.0,8.0,893.0,419.0,"0,4463","0,3880",,
